name,start,end
New Year,31-12-22 18:00,01-01-23 4:00
Christmas,25-12-22 19:00,26-12-22 2:00
Friday,08-07-22 19:00,09-07-22 2:00
Wednesday,12-10-22 16:30,13-10-22 1:00
Halloween,31-10-22 21:30,31-10-22 23:30
Just because,01-11-22 17:00,02-11-22 4:00
Teambuilding,14-11-22 19:00,15-11-22 1:00
Whatshername birthday,11-03-22 19:30,12-03-22 5:00
Bad idea,29-11-22 23:00,30-11-22 1:00
Aviation day,17-09-22 14:00,18-09-22 1:00
Fathers day,04-04-22 22:00,05-04-22 3:00
Anniversary,02-02-22 15:00,03-02-22 3:00
Can we please have it dignified once,13-01-22 14:00,13-01-22 22:00
Good news,29-06-22 20:00,30-06-22 2:00
Bad news,05-05-22 15:00,05-05-22 23:00
Celebration,05-03-22 17:00,06-03-22 1:00
Memorial,15-02-22 19:00,16-02-22 3:00
